Anti-Infective Agents in Medicinal Chemistry;Anti-Infect. Agents Med. Chem.;;
Antiqua;Antiqua;;
Antiviral Chemistry & Chemotherapy;Antiviral Chem. Chemother.;;
Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz;Anz. Schädl.kd. Pflanzenschutz Umweltschutz;;
Applications in Plant Sciences;Appl. Plant Sci.;;
Applied Adhesion Science;Appl. Adhes. Sci.;;
Applied Artifical Intelligence;Appl. Artif. Intell.;;
Applied Biochemistry and Microbiology (Translation of Prikladnaya Biokhimiya i Mikrobiologiya);Appl. Biochem. Microbiol.;;
Applied Ecology Abstracts;Appl. Ecol. Abstr.;;
Applied Geography and Development;Appl. Geogr. Dev.;;
Applied Mathematics Research eXpress;Appl. Math. Res. eXpress;;
Applied Occupational and Environmental Hygiene;Appl. Occup. Environ. Hyg.;;
Applied Petrochemical Research;Appl. Petrochem. Res.;;
Applied Physics A: Solids and Surfaces;Appl. Phys. A;;
Applied Physics B: Photophysics and Laser Chemistry;Appl. Phys. B;;
Applied Polymer Composites;Appl. Polym. Compos.;;
Applied Statistics;Appl. Stat.;;
Applied Water Science;Appl. Water Sci.;;
Aquaculture Reports;Aquacult. Rep.;;
Aquaculture Research;Aquacult. Res.;;
Aquatic Biosystems;Aquat. Biosyst.;;
Aquatic Conservation: Marine and Freshwater Ecosystems;Aquat. Conserv. Mar. Freshwater Ecosyst.;;
Arachnologische Mitteilungen;Arachnol. Mitt.;;
Arbeiten aus dem Anatomischen Institut der Kaiserlich-Japanischen Universitaet zu Sendai;Arb. Anat. Inst. Kais.-Jpn. Univ. Sendai;;
Arboricultural Journal;Arboric. J.;;
Archiv für Forstwesen;Arch. Forstwes.;;
Archiv für Hydrobiologie;Arch. Hydrobiol.;;
Archiv für Meteorologie, Geophysik und Bioklimatologie, Serie B;Arch. Meteorol. Geophys. Bioklimatol., Ser. B;;
Archiv für Naturschutz und Landschaftsforschung;Arch. Nat.schutz Landsch.forsch.;;
Archivum Societatis Zoologicae Botanicae Fennicae Vanamo;Arch. Soc. Zool. Bot. Fenn. Vanamo;;
Archäologie der Schweiz;Archäol. Schweiz;;
Archéologie neuchâteloise;Archéol. neuchâtel.;;
Arctic Science;Arct. Sci.;;
Arctic, Antarctic, and Alpine Research;Arct., Antarc., Alp. Res.;;
Arealstatistik der Schweiz;Arealstat. Schweiz;;
Arrhythmia & Electrophysiology Review;Arrhythmia Electrophysiol. Rev.;;
Arzneimittel Forschung;Arzneim. Forsch.;;
Asia Pacific Journal of Medical Toxicology;Asia Pac. J. Med. Toxicol.;;
Asian Journal of Atmospheric Environment;Asian J. Atmos. Environ.;;
Aspects of Homogeneous Catalysis;Aspects Homogeneous Catal.;;
Astrofizika;Astrofizika;;
Astronomicheskii Zhurnal;Astron. Zh.;;
Astronomy & Astrophysics, Supplement Series;Astron. Astrophys., Suppl. Ser.;;
Astronomy and Computing;Astron. Comput.;;
Astrophysical Journal Supplement Series;Astrophys. J. Suppl. Ser.;;
Astrophysics and Space Science Transactions;Astrophys. Space Sci. Trans;;
Atherosclerosis (Shannon, Ireland);Atherosclerosis (Shannon, Irel.);;
Atmospheric Environment, Part A: General Topics;Atmos. Environ., Part A;;
Atmospheric EnvironmentPart A General Topics;Atmos. Environ. Part A;;
Atmospheric EnvironmentPart B Urban Atmosphere;Atmos. Environ. Part B;;
Atmospheric Measurement Techniques Discussions;Atmos. Meas. Tech. Discuss.;;
Atomnaya Energiya;At. Energ.;;
Augsburger Ökologische Schriften;Augsbg. Ökol. Schr.;;
Auk, The;Auk;;
Australasian Physical & Engineering Sciences in Medicine;Australas. Phys. Eng. Sci. Med.;;
Australasian Plant Pathology;Australas. Plant Pathol.;;
Australian Forest Research;Aust. For. Res.;;
Australian Geomechanics Journal;Aust. Geomech. J.;;
Australian Journal of Agricultural and Resource Economics;Aust. J. Agric. Resour. Econ.;;
Australian Journal of Civil Engineering;Aust. J. Civil Eng.;;
Australian Journal of Electrical and Electronics Engineering;Aust. J. Electr. Electron. Eng.;;
Australian Journal of Mechanical Engineering;Aust. J. Mech. Eng.;;
Australian Journal of Structural Engineering;Aust. J. Struct. Eng.;;
Australian Journal of Water Resources;Aust. J. Water Resour.;;
Australian Meteorological and Oceanographic Journal;Aust. Meteorol. Oceanogr. J.;;
Avicultural Magazine;Avic. Mag.;;
Avtomaticheskaya Svarka;Avtom. Svarka;;
Azania-Archaeological Research in Africa;Azania-Archaeol. Res. Afr.;;
BBA Clinical;BBA Clin.;;
Badener Neujahrsblätter;Baden. Neujahrsbl.;;
Bandaoti Xuebao;Bandaoti Xuebao;;
Basler Beiträge zur Geographie;Basl. Beitr. Geogr.;;
Basler Beiträge zur Geschichtswissenschaft;Basl. Beitr. Gesch.wiss.;;
Bauhinia;Bauhinia;;
Behavioural Ecology;Behav. Ecol.;;
Behavioural Ecology and Sociobiology;Behav. Ecol. Sociobiol.;;
Beiheft zu Nova Hedwigia;Beih. Nova Hedwigia;;
Beiheft zu den Annalen der Schweizerischen meteorologischen Anstalt;Beih. Ann. Schweiz. meteorol. Anst.;;
Beiheft zu den Zeitschriften des Schweiz. Forstvereins;Beih. Z. Schweiz. Forstver.;;
Beiheft zum Jahrbuch der Schweizerischen naturforschenden Gesellschaft;Beih. Jahrb. Schweiz. nat.forsch. Ges.;;
Beiheft zur Schweizerischen Zeitschrift für Forstwesen;Beih. Schweiz. Z. Forst.wes.;;
